DATE,TEMP,DEWP,VISIB,WDSP,MXSPD,MAX,MIN,#cases
1/1/2020,30.4,25.8,5,2.7,6,44.6,21.2,
1/2/2020,29.8,26.1,4.7,2.8,7,42.8,23,
1/3/2020,28.9,24.7,4.3,2.4,5.1,41,21.2,
1/4/2020,31.9,29.4,2,3.3,13,41,23,
1/5/2020,36.4,26,6,7.5,15,42.8,26.6,
1/6/2020,27.6,21.2,6.1,2.8,6,39.2,19.4,
1/7/2020,25.8,19.9,6.2,3.4,6,37.4,19.4,
1/8/2020,30.1,25.6,4.9,1.9,5.1,39.2,23,
1/9/2020,29.1,25.3,4.3,3.4,7,44.6,19.4,
1/10/2020,31.7,25.5,4.8,2.7,6,51.8,19.4,
1/11/2020,31,29.3,4.4,2.6,5.1,37.4,24.8,
1/12/2020,30.6,28,4.1,2.7,6,41,23,
1/13/2020,25.5,24.7,0.1,2,4.1,28.4,23,
1/14/2020,27,26.7,0.2,2.6,5.1,30.2,24.8,
1/15/2020,27.8,27.2,0.7,1.5,4.1,39.2,19.4,
1/16/2020,30.6,28.8,1.8,1.8,5.1,42.8,21.2,
1/17/2020,30.1,30,0.8,2,4.1,32,28.4,
1/18/2020,29.6,28.9,0.8,1.9,2.9,30.2,28.4,
1/19/2020,31.9,31,3.6,1.7,4.1,35.6,28.4,
1/20/2020,31.4,30.4,1.9,1.7,2.9,33.8,26.6,
1/21/2020,31.1,27.1,3.3,3.2,8,37.4,21.2,
1/22/2020,28,25,2.8,3.2,7,41,19.4,
1/23/2020,27.7,25.9,2.8,2.3,4.1,35.6,21.2,
1/24/2020,24.4,23.6,0.3,1.8,4.1,28.4,21.2,
1/25/2020,31.4,28.3,2.5,2,4.1,42.8,21.2,
1/26/2020,35.9,34.2,1.2,1.8,6,44.6,28.4,
1/27/2020,37.5,37.2,0.9,2,4.1,41,35.6,
1/28/2020,46.4,37.6,4.6,6.9,15.9,59,33.8,
1/29/2020,37.9,35.6,5.2,3.5,11.1,46.4,32,
1/30/2020,40.2,30.2,5.4,4.3,8,51.8,32,
1/31/2020,44.7,34,6.2,5.9,14,64.4,26.6,
2/1/2020,49.9,39.5,6.2,6,12,66.2,33.8,
2/2/2020,55,41.2,6.2,5.8,9.9,66.2,44.6,
2/3/2020,50.2,44.8,6.1,3.1,7,59,39.2,
2/4/2020,47,40.5,6,7.7,22,64.4,37.4,
2/5/2020,39.6,27.9,6.2,13.3,22.9,44.6,33.8,
2/6/2020,35,20.5,6.2,5.7,15,44.6,24.8,
2/7/2020,36,25.9,6.2,4.6,8.9,44.6,26.6,
2/8/2020,38.5,29.5,6.1,3.3,8,48.2,30.2,
2/9/2020,39.7,29.5,5.8,3.2,7,59,24.8,
