DATE,TEMP,DEWP,VISIB,WDSP,MXSPD,MAX,MIN,#cases
1/1/2020,44.5,20.4,6.2,10.4,20,51.8,32,
1/2/2020,39.2,18.8,6.2,3.2,6,57.2,28.4,
1/3/2020,35.9,22.2,6.2,2,4.1,55.4,23,
1/4/2020,34.2,24.6,5.9,2.9,6,46.4,23,
1/5/2020,43.6,21.8,6.2,14.2,26,50,37.4,
1/6/2020,39.9,12.9,6.2,11.8,22.9,44.6,33.8,
1/7/2020,35.9,13.2,6.2,2.8,6,53.6,24.8,
1/8/2020,38.3,20.1,6.2,4.5,9.9,53.6,28.4,
1/9/2020,34,22.6,6.2,2,5.1,51.8,21.2,
1/10/2020,32.3,22.6,6.2,1.5,2.9,50,21.2,
1/11/2020,35.1,25.3,6,3.2,8.9,55.4,23,
1/12/2020,41.9,26.6,6.2,4.1,11.1,55.4,32,
1/13/2020,38.9,28.5,6.1,2.3,4.1,55.4,26.6,
1/14/2020,39.7,33.4,3.4,1.8,2.9,46.4,33.8,
1/15/2020,37,30.5,3.9,1.9,4.1,55.4,24.8,
1/16/2020,37.9,28.4,4.2,2.1,2.9,57.2,24.8,
1/17/2020,37.9,25.8,6.2,1.8,2.9,59,23,
1/18/2020,36,29.1,4.3,2.5,5.1,46.4,21.2,
1/19/2020,44.2,31.1,5.6,4.4,11.1,53.6,35.6,
1/20/2020,37.7,22.9,6.2,5,15,50,28.4,
1/21/2020,34.7,20.4,6.2,2.4,5.1,55.4,23,
1/22/2020,33.1,21.3,5.9,2,4.1,51.8,23,
1/23/2020,37.5,19.3,6.2,3.7,8,60.8,23,
1/24/2020,38.5,20.5,6,2.3,4.1,55.4,21.2,
1/25/2020,46.2,39.4,4.1,2.6,5.1,53.6,41,
1/26/2020,46.7,45.5,2.4,2.3,7,50,42.8,
1/27/2020,47.6,42.7,5.9,2.5,5.1,59,41,
1/28/2020,44.3,43.3,3.6,2.1,6,53.6,35.6,
1/29/2020,45.9,44.5,5.8,3.4,13,53.6,35.6,
1/30/2020,40.3,28.2,4.5,3.5,9.9,57.2,30.2,
1/31/2020,36.4,32,6.2,1.7,4.1,41,26.6,
2/1/2020,46.2,40.9,3,1.7,4.1,51.8,41,
2/2/2020,48.8,46.3,2.3,2.3,4.1,55.4,44.6,
2/3/2020,49.3,47.1,2.6,2.6,6,53.6,44.6,
2/4/2020,50.2,42.8,3.3,9.9,26,60.8,46.4,
2/5/2020,46,20.3,6.2,23.7,45.1,48.2,41,
2/6/2020,39.2,8.2,6.2,16.8,33,46.4,32,
2/7/2020,41.2,21.8,6.2,6.3,18.1,53.6,30.2,
2/8/2020,43,26.1,6.2,3.1,6,57.2,32,
2/9/2020,41.3,31.5,6.2,2.5,7,59,26.6,
2/10/2020,48.6,40.3,6.2,3.4,8.9,55.4,41,
2/11/2020,53,45.2,6.2,3.2,11.1,64.4,46.4,
2/12/2020,49.2,40.2,5.9,3.4,11.1,64.4,39.2,
2/13/2020,44.5,31.2,6.2,2.7,7,60.8,28.4,
2/14/2020,47.6,36.9,5.4,8.8,25.1,53.6,39.2,
2/15/2020,52.3,27.9,6.2,10.6,25.1,60.8,39.2,
2/16/2020,44.1,29.2,6.2,2.5,5.1,62.6,28.4,
2/17/2020,44.4,30.6,6.2,2.7,6,64.4,28.4,
2/18/2020,46.8,33.5,6.1,3.9,18.1,66.2,30.2,
2/19/2020,52,33.7,6.2,3.4,7,64.4,44.6,
2/20/2020,49.1,22.6,6.2,15.5,28.9,53.6,41,
2/21/2020,44.5,20.8,6.2,4.1,13,59,26.6,
2/22/2020,48.8,18,6.2,7.5,14,59,37.4,
2/23/2020,45.7,27.9,6.2,2.7,7,62.6,30.2,
2/24/2020,48.4,35.9,6.2,3.8,15.9,64.4,35.6,
2/25/2020,50.2,37.8,6.2,3.4,8.9,66.2,33.8,
2/26/2020,55.4,43.3,6.2,9,15.9,60.8,44.6,
2/27/2020,44.3,29.8,5.9,9.6,22.9,51.8,39.2,
2/28/2020,47.4,29.3,5.9,10.4,18.1,55.4,39.2,
2/29/2020,43.9,21.9,6.2,3.2,9.9,57.2,28.4,
3/1/2020,47.2,37.9,5.8,5.5,15,57.2,33.8,
3/2/2020,58.7,47.7,6.1,9.4,15.9,66.2,51.8,
3/3/2020,54.6,49.8,5.4,7.4,15,59,48.2,
3/4/2020,50.8,39,6.2,4.2,13,59,42.8,
3/5/2020,47.9,31.8,6.2,3.7,8,60.8,33.8,
3/6/2020,49.7,45,6,5.4,14,57.2,42.8,
3/7/2020,51.9,38.8,6,8.4,20,60.8,42.8,
3/8/2020,51,28.8,6.2,9.3,26,55.4,46.4,
3/9/2020,50.3,36.6,6.2,3.6,7,60.8,42.8,
3/10/2020,50.8,30.4,6.2,5.8,15,60.8,41,
3/11/2020,48.3,32.7,6.2,2.5,7,62.6,32,
3/12/2020,53.2,37.8,6.2,2.5,6,75.2,35.6,
3/13/2020,53.9,42.2,6.2,2.8,7,73.4,39.2,
3/14/2020,55.7,37.2,6.2,6.1,15,60.8,51.8,
3/15/2020,54.3,28.2,6.2,6.4,15,62.6,44.6,
3/16/2020,50.6,29.3,6.2,4,8,66.2,33.8,
3/17/2020,49.8,32.6,6.2,3.4,8.9,68,32,
3/18/2020,53,33.1,6.2,3.5,12,75.2,37.4,
3/19/2020,63.8,26,6.2,3.9,9.9,69.8,50,
3/20/2020,62.4,34,6.2,3.9,8,71.6,44.6,
3/21/2020,61.8,34.4,6.2,3.6,8,69.8,44.6,
3/22/2020,60.2,34,6.2,11.5,17.1,62.6,51.8,
3/23/2020,44.2,12.6,6.2,15.6,20,44.6,42.8,
3/28/2020,51.5,41.3,6.1,2.4,6,62.6,42.8,
4/11/2020,68.7,34.5,5.9,7.2,14,78.8,44.6,
5/22/2020,71.2,28.2,6.2,11.1,20,78.8,59,
5/24/2020,64.6,52.9,6.1,6,14,68,60.8,
5/25/2020,71.6,37,6.2,11.4,15,75.2,62.6,
5/26/2020,65,39,6.2,12.4,15.9,68,60.8,
5/27/2020,66.4,41,6.2,13.8,21,69.8,62.6,
5/28/2020,70.4,41.4,6.2,10.1,18.1,75.2,57.2,
5/29/2020,70.8,42.4,6.2,7.2,13,75.2,62.6,
5/30/2020,67.8,45.2,6.2,5.2,8.9,73.4,62.6,
6/1/2020,66.2,45.4,6.2,9.6,14,73.4,53.6,0
6/2/2020,72.8,43.6,6.2,6.2,12,78.8,59,0
6/3/2020,66.4,48.6,6.2,3.7,5.1,69.8,59,0
6/4/2020,71.4,51.1,6.2,6.5,14,78.8,57.2,0
6/5/2020,70,60,6,14.5,18.1,73.4,66.2,0
6/6/2020,73.6,56.4,6.2,4.8,8,78.8,64.4,0
6/7/2020,75.4,57.6,6.2,4,7,80.6,64.4,0
6/8/2020,72.4,58,6.2,4.1,8.9,78.8,62.6,0
6/9/2020,69.2,61.2,4.6,3.5,5.1,78.8,62.6,0
6/10/2020,73.4,58.8,6.2,5.6,9.9,78.8,66.2,1
6/11/2020,67.8,55.2,6.2,3.9,9.9,73.4,62.6,0
6/12/2020,72.4,54.2,6.2,4.3,6,77,62.6,0
6/13/2020,75.2,57.4,6.2,3.4,6,82.4,62.6,1
6/14/2020,76.2,59,6.2,4.6,8,82.4,64.4,0
6/15/2020,68,61.2,6.2,2.9,6,71.6,64.4,0
6/16/2020,66.3,62,6.2,2.3,8,71.6,62.6,1
6/17/2020,66.6,61.1,6,3.2,11.1,75.2,59,3
6/18/2020,69.3,61.5,6.1,4.4,11.1,78.8,60.8,1
6/19/2020,70.5,57.1,6.2,3.9,8,82.4,57.2,0
6/20/2020,69,55.2,6.2,5.7,17.1,80.6,57.2,1
6/21/2020,71,52.5,6.2,8.9,17.1,80.6,60.8,0
6/22/2020,69.9,56.8,6.2,4.5,9.9,75.2,66.2,1
6/23/2020,75.2,55.5,6.2,9.5,18.1,80.6,69.8,1
6/24/2020,76.3,53.1,6.2,5.1,8.9,87.8,64.4,5
6/25/2020,76,57.3,6.2,3.9,8.9,89.6,60.8,5
6/26/2020,77.4,59.2,6.2,3.3,8.9,91.4,60.8,54
6/27/2020,78.8,56.7,6.2,3.6,7,93.2,64.4,4
6/28/2020,79.1,57.7,6.2,3.5,8.9,95,60.8,0
6/29/2020,80.5,58.4,6.2,4.1,8.9,95,64.4,2
6/30/2020,81.3,59.7,6.2,4.1,8.9,95,66.2,21
7/1/2020,82.7,60.6,6.2,3.2,6,98.6,66.2,16
7/2/2020,83.7,62.6,6.2,4.5,9.9,96.8,69.8,14
7/3/2020,79.2,63.3,6,4.5,15.9,93.2,71.6,9
7/4/2020,77,62.9,6.2,6,17.1,89.6,68,7
7/5/2020,79.8,60.1,6.2,5.3,13,91.4,64.4,1
7/6/2020,81.7,59.2,6.2,4,11.1,93.2,66.2,7
7/7/2020,74.1,50.4,6.2,12.7,26,80.6,64.4,12
7/8/2020,73.2,48.4,6.2,4.1,11.1,89.6,55.4,11
7/9/2020,76.1,51.4,6.2,3.9,9.9,96.8,55.4,14
7/10/2020,79.3,54,6.2,4,8.9,96.8,60.8,33
7/11/2020,81.5,54.9,6.2,3.9,8.9,96.8,62.6,13
7/12/2020,79.1,53.8,6.2,11.3,19,87.8,69.8,9
7/13/2020,74.5,42.6,6.2,6.3,15,86,62.6,2
7/14/2020,72.3,43.4,6.2,4.5,9.9,86,55.4,10
7/15/2020,71.7,49.5,6.2,4.2,11.1,84.2,57.2,16
7/16/2020,74.7,51.3,6.2,4.2,9.9,89.6,59,42
7/17/2020,73.3,53,6.2,7,15.9,87.8,60.8,26
7/18/2020,68.2,52.2,6.2,6,17.1,77,60.8,23
7/19/2020,70.6,51.9,6.2,5.6,12,82.4,57.2,6
7/20/2020,73.7,53.4,6.2,3.7,8.9,89.6,57.2,7
7/21/2020,79.5,55.6,6.2,5.3,14,95,60.8,29
7/22/2020,82,54.8,6.2,4,9.9,100.4,62.6,8
7/23/2020,83,58.9,6.2,3.9,8,95,66.2,25
7/24/2020,82.1,61,6.2,4.9,9.9,95,68,24
7/25/2020,73.5,62.6,6.1,4.3,13,82.4,64.4,12
7/26/2020,76.6,58.8,6.2,5,11.1,89.6,60.8,3
7/27/2020,79.5,55.9,6.2,4.5,11.1,93.2,62.6,2
7/28/2020,81.7,54.4,6.2,3.7,8,100.4,64.4,37
7/29/2020,83.6,59.5,6.2,3.9,9.9,100.4,64.4,15
7/30/2020,85.9,60.7,6.2,3.5,8.9,104,69.8,12
7/31/2020,83.7,61.2,6.2,4.4,20,102.2,69.8,27
8/1/2020,86.5,58.9,6.2,5.9,14,100.4,69.8,2
8/2/2020,86.1,54,6.2,5.4,14,96.8,73.4,6
8/3/2020,84.3,52.2,6.2,5.9,15.9,98.6,68,3
8/4/2020,82.4,62.2,6,8.7,15,91.4,66.2,23
8/5/2020,70.3,62.9,6.2,3.4,8,82.4,64.4,21
8/6/2020,74.1,57.7,6.2,6.6,14,80.6,62.6,10
8/7/2020,78.8,58,6.2,7,14,87.8,68,10
8/8/2020,82.2,57.6,6.2,7.1,15,91.4,68,20
8/9/2020,84.2,59,6.2,6.5,22,96.8,71.6,5
8/10/2020,80,59.3,6.2,4.3,14,96.8,64.4,14
8/11/2020,80.1,61.7,6.2,3,8,95,64.4,33
8/12/2020,79.3,63.3,6.2,3.9,12,91.4,68,35
8/13/2020,81.5,61.7,6.2,3.3,8.9,95,64.4,46
8/14/2020,80.9,61.9,6.2,3.3,8.9,95,66.2,24
8/15/2020,75.7,61.9,6,4,25.1,91.4,66.2,11
8/16/2020,78.4,61.7,6.2,3.4,7,91.4,66.2,3
8/17/2020,79.2,62.5,6.2,3.3,9.9,93.2,66.2,19
8/18/2020,72.3,63.6,6.2,4.4,15,87.8,64.4,41
8/19/2020,73.1,56.9,6.2,5.1,13,87.8,60.8,28
8/20/2020,75.4,55.2,6.2,4.1,13,91.4,59,25
8/21/2020,77.5,53.9,6.2,3.2,7,95,59,34
8/22/2020,79.3,59.6,6.2,3.7,8,96.8,62.6,31
8/23/2020,80.8,63.9,6.2,2.9,8,98.6,66.2,2
8/24/2020,78.6,63.6,6.2,5,13,87.8,69.8,53
8/25/2020,76.6,59.5,6.1,6.4,14,87.8,66.2,32
8/26/2020,75,55,6.2,3.5,7,89.6,59,31
8/27/2020,76.5,57.8,6.2,3.3,8.9,95,60.8,52
8/28/2020,77.8,60.3,6.2,3.1,8,93.2,60.8,42
8/29/2020,79.9,57.6,6.2,4.8,13,95,64.4,41
8/30/2020,81.3,54.3,6.2,4.3,11.1,96.8,62.6,34
8/31/2020,79.6,54,6.1,4.1,15.9,96.8,64.4,46
9/1/2020,71.1,57.3,6.2,3.5,8.9,80.6,60.8,50
9/2/2020,70.6,53.5,6.2,3.5,8.9,84.2,55.4,42
9/3/2020,74.1,54,6.2,4.5,14,86,64.4,94
9/4/2020,72.5,48.1,6.2,6.8,15.9,84.2,59,58
9/5/2020,72.7,45.6,6.2,3.4,7,91.4,55.4,31
9/6/2020,73.5,51.1,6.2,3.5,8,91.4,55.4,2
9/7/2020,74.5,54.6,6.2,3.7,8,91.4,55.4,60
9/8/2020,78.8,58,6.2,6,17.1,91.4,66.2,97
9/9/2020,76.5,56.1,6.2,3.1,8.9,93.2,60.8,92
9/10/2020,76.3,54.2,6.2,4.3,12,95,57.2,62
9/11/2020,79.8,55.3,6.2,4.4,11.1,95,64.4,26
9/12/2020,80.7,54.5,6.2,3.7,9.9,96.8,62.6,65
9/13/2020,81.4,53.4,6.2,5.9,15,95,66.2,50
9/14/2020,84.7,53.1,6.2,7.3,13,95,71.6,39
