DATE,TEMP,DEWP,VISIB,WDSP,MXSPD,MAX,MIN,#cases
1/1/2020,25.3,22.5,1.5,1.3,4.1,33.8,17.6,
1/2/2020,26.4,22.7,2.6,1.6,5.1,39.2,19.4,
1/3/2020,23.5,19.9,2.4,1.4,2.9,37.4,15.8,
1/4/2020,25.5,22.5,1.6,1.7,5.1,35.6,15.8,
1/5/2020,31.6,25.7,4.1,5.5,11.1,33.8,28.4,
1/6/2020,26.8,17.6,5.6,3.9,7,35.6,15.8,
1/7/2020,19.1,13.5,4.6,1.8,5.1,33.8,10.4,
1/8/2020,19.5,15.8,2,1.3,5.1,28.4,12.2,
1/9/2020,18.8,17.4,1.2,1.3,4.1,28.4,12.2,
1/10/2020,21,20,0.6,1.7,2.9,33.8,15.8,
1/11/2020,25.7,24.1,0.8,1.3,2.9,32,17.6,
1/12/2020,30.2,27.2,1.1,1.6,4.1,41,21.2,
1/13/2020,26.1,23.6,1.6,1.2,4.1,41,17.6,
1/14/2020,28.1,25.5,1.3,1.4,4.1,46.4,19.4,
1/15/2020,26.3,25.5,0.5,1.1,2.9,39.2,21.2,
1/16/2020,25.1,24.9,0.2,1.3,2.9,30.2,23,
1/17/2020,23.4,23.4,0.3,1.3,1.9,26.6,21.2,
1/18/2020,23.4,23.4,0.5,0.8,2.9,26.6,19.4,
1/19/2020,28.8,28.8,0.9,1.2,5.1,30.2,26.6,
1/20/2020,30.1,27.9,4.3,3,7,32,28.4,
1/21/2020,28,22,5.4,2.5,6,37.4,17.6,
1/22/2020,22.2,20,2.2,1.1,2.9,35.6,15.8,
1/23/2020,27.3,23.4,2.4,1.5,4.1,42.8,17.6,
1/24/2020,25.2,19.6,3.2,1,1.9,46.4,14,
1/25/2020,33.4,29.6,2.1,1.7,2.9,46.4,21.2,
1/26/2020,32.7,32.7,0.4,1.8,5.1,37.4,26.6,
1/27/2020,36.8,36.8,0.2,1.6,4.1,39.2,35.6,
1/28/2020,39.5,37.5,3.5,4.6,14,50,30.2,
1/29/2020,37.7,37.2,3.9,3.2,12,46.4,32,
1/30/2020,34.2,31.3,4,2.5,5.1,44.6,26.6,
1/31/2020,36.3,31.6,5.3,3,9.9,55.4,23,
2/1/2020,41.9,36.1,4.8,3.5,9.9,57.2,26.6,
2/2/2020,47.6,40.6,6.2,3.2,11.1,60.8,39.2,
2/3/2020,48.6,41.7,6.2,4.1,13,62.6,35.6,
2/4/2020,43.7,39.7,5.9,5.3,15.9,64.4,35.6,
2/5/2020,32.8,29.7,3.3,8.9,11.1,35.6,30.2,
2/6/2020,27.9,17.8,6,4.7,8,35.6,19.4,
2/7/2020,28,25.2,4.1,1.4,2.9,33.8,19.4,
2/8/2020,35,31.1,3.2,1.6,5.1,46.4,24.8,
2/9/2020,32,27.2,4.1,1.5,5.1,51.8,21.2,
2/10/2020,40.8,35.1,5.6,3.3,8,51.8,26.6,
2/11/2020,47.8,40,5.9,5.7,14,60.8,32,
2/12/2020,38.1,32.7,4.9,3.2,7,46.4,28.4,
